"Provider Org name","total_decisions","total_admitted","total_failed_to_attend","total_removals","total_gp_referrals","total_other_referrals","total_first_seen","total_first_dna","total_subs_seen","total_subs_dna","quarter_start"
BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,189,677,0,2,8793,1601,9365,836,24439,2673,2011-04-01
BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,921,818,0,12,10863,1805,11574,687,16858,2273,2011-04-01
BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,264,683,690,152,3464,976,2011-04-01
BLACKPOOL PCT,0,0,0,0,12,234,2365,129,543,77,2011-04-01
BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,12745,13426,121,1818,16283,12246,23421,2330,54495,6518,2011-04-01
BMI HEALTHCARE,13168,13910,0,2670,25363,0,15936,527,14511,987,2011-04-01
BOLTON NHS FOUNDATION TRUST,6620,6074,139,587,15144,7202,20603,1818,40543,4402,2011-04-01
BOLTON PCT,0,0,0,0,2207,1185,2879,339,4193,658,2011-04-01
BOURNEMOUTH AND POOLE TEACHING PCT,217,201,0,4,135,65,188,7,475,20,2011-04-01
WINFIELD HOSPITAL,587,597,3,98,716,0,822,44,3107,135,2020-01-01
BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,8595,7963,140,596,12840,13437,26541,3057,57941,8729,2011-04-01
BRAINTREE COMMUNITY HOSPITAL,424,299,0,0,1464,110,1655,117,2167,251,2011-04-01
BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST,0,0,0,0,1165,955,1287,270,3230,719,2011-04-01
BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,9782,8202,157,1911,24372,16428,33434,3246,69178,6254,2011-04-01
BROMLEY PCT,31,41,1,8,204,392,522,55,1824,205,2011-04-01
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,9282,8301,356,1886,21699,5005,29547,1422,52540,3286,2011-04-01
BURTON HOSPITALS NHS FOUNDATION TRUST,3503,2709,67,423,10562,7044,12749,1053,24365,2974,2011-04-01
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,9585,8908,129,602,22548,4512,32532,2652,58409,5747,2011-04-01
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13752,12636,164,1224,21084,9812,30681,2003,65261,6324,2011-04-01
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,0,0,0,0,83,339,116,32,472,128,2011-04-01
CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,99,74,1,4,2489,1430,2630,206,4174,522,2011-04-01
CARE UK REGIONAL OFFICE - MANCHESTER,0,0,0,0,13715,0,11886,935,2899,77,2011-04-01
CENTRAL ESSEX COMMUNITY SERVICES,0,0,0,0,8,50,78,7,85,7,2011-04-01
CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11118,9615,473,1764,22807,32247,42934,7296,121961,18701,2011-04-01
CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5817,4960,125,517,16713,9942,45257,4980,75040,9275,2011-04-01
CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,527,531,0,0,0,0,805,69,5921,1047,2011-04-01
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6434,5623,125,519,12431,7083,17532,890,40963,3242,2011-04-01
CIRCLE BATH,584,574,2,0,1094,0,1078,24,930,21,2011-04-01
CIRENCESTER NHS TREATMENT CENTRE,401,355,4,0,527,150,504,32,369,61,2011-04-01
CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,14683,12581,59,1451,18270,20831,27638,2708,49629,5867,2011-04-01
CLAREMONT HOSPITAL,282,282,0,0,383,0,383,26,779,45,2011-04-01
COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,7948,6997,93,1008,15201,3329,21552,1604,43279,3063,2011-04-01
CORNWALL AND ISLES OF SCILLY PCT,0,0,0,0,318,160,435,0,12,0,2011-04-01
COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4865,4544,127,618,12742,14066,18501,1438,46968,4090,2011-04-01
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,9821,9340,187,1122,25614,15761,40597,3126,61381,8357,2011-04-01
COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,1793,5676,4206,622,12810,2629,2011-04-01
CROYDON HEALTH SERVICES NHS TRUST,6678,5561,300,1010,16532,10171,20227,3786,40918,6518,2011-04-01
CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,149,34,638,175,1959,528,2011-04-01
DARTFORD AND GRAVESHAM NHS TRUST,4333,3818,105,536,9173,3934,12916,1008,22484,1676,2011-04-01
DERBY HOSPITALS NHS FOUNDATION TRUST,13480,12870,276,1308,19895,14071,27340,1874,60398,4220,2011-04-01
DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,3810,3124,230,436,13025,3440,15845,1194,35664,3007,2011-04-01
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,575,792,1071,223,6627,1175,2011-04-01
DEVIZES NHS TREATMENT CENTRE,1225,1321,2,0,1122,681,1186,81,840,83,2011-04-01
DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,9779,8951,142,1142,25083,15636,32005,2458,77624,6364,2011-04-01
DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,5833,5440,89,986,8329,2431,11493,678,27461,2376,2011-04-01
DORSET PCT,326,347,7,33,1679,362,1725,81,2744,368,2011-04-01
DUDLEY AND WALSALL MENTAL HEALTH PARTNERSHIP NHS TRUST,0,0,0,0,3718,4719,611,110,5728,983,2011-04-01
EALING HOSPITAL NHS TRUST,3191,2761,166,470,10916,6135,12302,2244,23261,4811,2011-04-01
EAST AND NORTH HERTFORDSHIRE NHS TRUST,8894,8377,136,1439,20346,10959,25971,2484,55446,6877,2011-04-01
EAST CHESHIRE NHS TRUST,3894,3374,12,750,7546,6069,12020,933,18766,2070,2011-04-01
EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,10742,11405,232,1271,29355,21703,41531,3860,77174,7145,2011-04-01
EAST LANCASHIRE HOSPITALS NHS TRUST,11928,10394,325,1949,26337,6204,38376,3923,73917,7606,2011-04-01
EAST RIDING OF YORKSHIRE PCT,0,0,0,0,392,0,388,9,2,3,2011-04-01
EAST SUSSEX HEALTHCARE NHS TRUST,6494,5947,232,1098,24041,9331,28324,2148,46806,3650,2011-04-01
ECCLESHILL NHS TREATMENT CENTRE,962,852,20,73,1523,0,761,136,940,50,2011-04-01
EMERSONS GREEN NHS TREATMENT CENTRE,2855,2738,7,0,2121,1535,2438,85,2641,246,2011-04-01
ENFIELD PCT,0,0,0,0,5,10,6,0,270,6,2011-04-01
EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,7696,6039,115,1731,19386,3977,23597,1879,43809,3366,2011-04-01
FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,6871,5907,117,715,14506,6276,19262,1207,40142,2967,2011-04-01
GATESHEAD HEALTH NHS FOUNDATION TRUST,2235,2119,12,205,9444,3506,11754,886,25927,2795,2011-04-01
GATESHEAD PCT,0,0,0,0,0,0,854,14,551,0,2011-04-01
GEORGE ELIOT HOSPITAL NHS TRUST,3556,3007,126,534,9017,4181,11066,965,27204,3029,2011-04-01
GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,12089,10811,40,73,25917,13641,37632,1950,68589,5353,2011-04-01
GLOUCESTERSHIRE PCT,0,0,0,0,0,2648,2472,176,1882,116,2011-04-01
GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,2015,2873,12,260,1006,6090,5013,463,27189,2041,2011-04-01
GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4119,3483,44,1029,15049,7103,21904,1805,35882,3716,2011-04-01
GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,15840,12583,525,2182,34169,38609,55398,7647,106044,16540,2011-04-01
HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,4579,4081,134,574,10676,10161,16417,1115,27769,2779,2011-04-01
HAND TO ELBOW CLINIC,0,0,0,0,42,1,28,1,8,0,2011-04-01
HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4607,4184,84,471,9657,3366,11373,504,24462,1663,2011-04-01
HAVERING PCT,0,0,0,0,32,77,136,17,438,110,2011-04-01
HEART OF ENGLAND NHS FOUNDATION TRUST,21866,13100,412,8468,40183,24859,50456,6282,119389,14590,2011-04-01
HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,8040,6806,182,1241,19637,5238,19300,2851,32432,5623,2011-04-01
HERTFORDSHIRE COMMUNITY NHS TRUST,304,304,0,0,3816,3342,5244,260,5042,448,2011-04-01
HINCHINGBROOKE HEALTH CARE NHS TRUST,4131,3621,65,417,5520,4367,9380,354,12776,660,2011-04-01
HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,2604,2739,269,103,8852,2819,13067,2527,32889,4666,2011-04-01
HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,16249,15049,265,1575,29479,8836,35868,3155,96129,9873,2011-04-01
HULL TEACHING PCT,0,0,0,0,47,0,35,0,12,0,2011-04-01
HUMBER NHS FOUNDATION TRUST,0,0,0,0,693,193,513,21,944,103,2011-04-01
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,25383,22538,266,853,48645,29205,64067,9862,137699,21756,2011-04-01
IPSWICH HOSPITAL NHS TRUST,8912,7855,201,2292,17647,8723,25724,1662,54888,4727,2011-04-01
ISLE OF WIGHT NHS PCT,2160,1840,27,312,8248,6220,13107,965,18023,1760,2011-04-01
JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5635,6193,77,669,12935,3089,15658,1265,39495,2483,2011-04-01
KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST,161,161,0,0,0,0,0,0,0,0,2011-04-01
KENT COMMUNITY HEALTH NHS TRUST,0,0,0,0,484,1153,1422,205,2061,242,2011-04-01
KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6392,6755,180,768,9360,6752,14771,1213,26209,2943,2011-04-01
KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,9896,7661,301,1416,15951,16439,33143,4932,75831,14024,2011-04-01
KINGSTON HOSPITAL NHS TRUST,5789,5063,57,1394,16678,6711,19516,2467,34534,4661,2011-04-01
LANCASHIRE CARE NHS FOUNDATION TRUST,0,0,0,0,430,3456,2765,368,6488,948,2011-04-01
LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,14409,10588,133,1260,23124,12635,32786,3339,78769,10663,2011-04-01
LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,311,329,376,43,1253,211,2011-04-01
LEEDS COMMUNITY HEALTHCARE NHS TRUST,85,85,0,0,3228,1449,3742,511,3918,401,2011-04-01
LEEDS TEACHING HOSPITALS NHS TRUST,23004,20839,527,2713,30162,32375,58490,8458,128735,16257,2011-04-01
LEICESTERSHIRE PARTNERSHIP NHS TRUST,0,0,0,0,309,445,266,25,785,147,2011-04-01
LEWISHAM HEALTHCARE NHS TRUST,4499,3980,54,677,10457,10773,19336,2116,34980,4514,2011-04-01
LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,502,916,728,127,3058,532,2011-04-01
LIVERPOOL COMMUNITY HEALTH NHS TRUST,0,0,0,0,2,0,4,0,522,60,2011-04-01
LIVERPOOL HEART AND CHEST NHS FOUNDATION TRUST,1764,1680,37,107,2182,1691,2880,275,9078,1196,2011-04-01
LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,2344,2301,41,227,6727,6974,13020,995,17037,2530,2011-04-01
LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,7629,6629,186,870,15303,9252,29108,2788,36256,4765,2011-04-01
MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,7144,6454,103,1358,19362,14935,24726,1973,49897,4781,2011-04-01
MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,0,0,0,0,234,1064,877,275,4522,1131,2011-04-01
MEDWAY NHS FOUNDATION TRUST,5969,5191,106,742,18448,7018,22097,1911,44248,4325,2011-04-01
MEDWAY PCT,0,0,0,0,0,0,229,0,124,0,2011-04-01
MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6675,6138,47,793,11216,6044,19371,1210,38888,2934,2011-04-01
MID ESSEX HOSPITAL SERVICES NHS TRUST,6522,6890,83,1384,17039,13938,25015,2555,46676,5926,2011-04-01
MID STAFFORDSHIRE NHS FOUNDATION TRUST,6773,5721,32,829,14394,10887,14343,957,32267,2791,2011-04-01
MID YORKSHIRE HOSPITALS NHS TRUST,11438,11186,200,1932,26927,14663,32375,4055,79931,8332,2011-04-01
MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,4881,4298,44,776,11437,5198,18028,1097,23673,1851,2011-04-01
MILTON KEYNES PCT,0,0,0,0,158,282,191,28,535,105,2011-04-01
MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,7050,6360,0,0,13554,5626,21240,2207,77962,10044,2011-04-01
NAVIGO,0,0,0,0,0,266,193,0,1146,405,2011-04-01
NEWHAM UNIVERSITY HOSPITAL NHS TRUST,3063,2845,48,294,11449,7634,13827,2433,30711,4436,2011-04-01
NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19387,16070,137,2838,28166,9742,41416,1724,63025,4931,2011-04-01
NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,72,298,0,0,604,1779,2014,121,2859,304,2011-04-01
NORTH BRISTOL NHS TRUST,10609,9760,160,1977,21588,10808,27109,2079,59411,6513,2011-04-01
NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,7552,7218,92,1062,15399,4184,19084,1055,42308,3657,2011-04-01
NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,0,0,396,1126,2097,121,2296,449,2011-04-01
NORTH ESSEX PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,649,1786,1340,288,6043,1624,2011-04-01
NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3318,3134,152,1015,10038,8467,16063,2815,38202,8115,2011-04-01
NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4052,3711,92,300,9976,4682,12973,950,22834,3073,2011-04-01
NORTH WEST LONDON HOSPITALS NHS TRUST,7831,6185,514,1276,21838,8029,25400,3054,55228,9270,2011-04-01
NORTHAMPTON GENERAL HOSPITAL NHS TRUST,7656,6662,147,861,13853,6382,18872,984,32240,3024,2011-04-01
NORTHAMPTONSHIRE TEACHING PCT,372,372,0,0,50,201,252,7,633,2,2011-04-01
NORTHERN DEVON HEALTHCARE NHS TRUST,3024,2745,0,251,7934,3772,11375,634,22056,2025,2011-04-01
NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,10099,8761,226,917,18099,13025,30587,2392,66551,5825,2011-04-01
"NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",0,0,0,0,85,264,259,0,3687,419,2011-04-01
NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,9241,9505,29,449,14271,12085,26030,1771,57450,4899,2011-04-01
NOTTINGHAM NHS TREATMENT CENTRE(NATIONS HEALTHCARE),4413,4593,85,87,11179,951,11241,689,24977,2885,2011-04-01
NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13067,12018,293,1469,20513,14789,31530,2524,77275,9646,2011-04-01
NOTTINGHAMSHIRE COUNTY TEACHING PCT,24,19,0,5,27,5,110,14,243,51,2011-04-01
NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,0,0,0,0,0,44,45,0,157,3,2011-04-01
"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",6,1,0,0,21,0,11,0,12,0,2011-04-01
"NUFFIELD HEALTH, EXETER HOSPITAL",124,135,0,0,229,0,174,27,6,0,2011-04-01
"NUFFIELD HEALTH, LEEDS HOSPITAL",865,1070,6,489,1692,528,2086,51,0,0,2011-04-01
"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",450,300,0,0,882,0,798,13,1183,36,2011-04-01
"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",101,105,0,0,212,0,237,2,288,8,2011-04-01
"NUFFIELD HEALTH, WOKING HOSPITAL",9,31,0,0,54,0,48,1,61,1,2011-04-01
NUFFIELD HOSPITAL OXFORD (THE MANOR),20,64,0,0,76,0,74,0,98,0,2011-04-01
NUFFIELD ORTHOPAEDIC CENTRE NHS TRUST,2429,1646,0,376,3214,1207,4509,307,9421,596,2011-04-01
OXFORD UNIVERSITY HOSPITALS NHS TRUST,14843,13525,303,2004,21991,16193,34970,2200,63696,5761,2011-04-01
OXLEAS NHS FOUNDATION TRUST,0,0,0,0,43,260,655,200,827,372,2011-04-01
PAIN MANAGEMENT SOLUTIONS,19,19,0,0,79,0,79,0,802,0,2011-04-01
PAPWORTH HOSPITAL NHS FOUNDATION TRUST,2951,3045,61,96,1397,4441,2398,90,11007,940,2011-04-01
PENNINE ACUTE HOSPITALS NHS TRUST,17060,14567,519,2457,27856,22578,52168,4334,100023,14893,2011-04-01
PENNINE CARE NHS FOUNDATION TRUST,0,0,0,0,207,1734,2059,334,6715,1514,2011-04-01
PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,8710,7856,135,899,18292,10870,22350,1479,62687,5083,2011-04-01
PLYMOUTH HOSPITALS NHS TRUST,14495,12643,354,2285,20671,6641,29064,1656,49087,2992,2011-04-01
PLYMOUTH TEACHING PCT,0,12,0,0,81,15,88,12,299,38,2011-04-01
POOLE HOSPITAL NHS FOUNDATION TRUST,3781,3342,35,365,11567,5187,18078,998,30392,2219,2011-04-01
PORTSMOUTH HOSPITALS NHS TRUST,10935,9230,198,1365,27844,13035,39567,2901,70584,5956,2011-04-01
QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,3200,2879,16,371,6074,5032,10140,504,30799,1951,2011-04-01
RAMSAY HEALTHCARE UK OPERATIONS LIMITED,19277,20967,96,2389,29931,0,27814,1007,71671,2765,2011-04-01
ROYAL BERKSHIRE NHS FOUNDATION TRUST,7424,6599,128,1408,21579,9883,38660,2737,79574,6596,2011-04-01
ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,3223,2770,49,417,1618,3062,3595,383,24698,2540,2011-04-01
ROYAL CORNWALL HOSPITALS NHS TRUST,11570,10847,190,2157,22149,12246,31925,2209,60727,5889,2011-04-01
ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,12160,10473,195,1528,19045,11094,26987,1768,48977,4363,2011-04-01
ROYAL FREE LONDON NHS FOUNDATION TRUST,12116,10325,353,1756,22271,28550,31990,3942,86335,9872,2011-04-01
ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,8685,7355,83,1524,21097,15427,38038,4829,87218,13001,2011-04-01
ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,805,730,0,37,1007,332,1539,93,4315,265,2011-04-01
ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,2333,2191,7,360,2223,2062,4397,157,15300,1722,2011-04-01
ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5749,5111,42,933,15105,10141,21731,1439,47476,3549,2011-04-01
ROYAL UNITED HOSPITAL BATH NHS TRUST,4509,6489,33,1560,17262,6153,25914,1318,43954,2477,2011-04-01
SALFORD ROYAL NHS FOUNDATION TRUST,7479,6216,129,1249,15686,13752,23614,3102,59162,9598,2011-04-01
SALISBURY NHS FOUNDATION TRUST,4174,3568,22,629,9930,6875,15394,727,27422,2623,2011-04-01
SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,10379,9434,429,1494,29554,15465,39452,5315,103227,12650,2011-04-01
SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,3798,3898,28,393,8407,3846,9843,836,21890,2354,2011-04-01
SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,1912,2023,37,96,3229,4199,7343,839,17716,3124,2011-04-01
SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,21406,18118,345,2505,31874,22867,69727,4987,166876,13328,2011-04-01
SHEPTON MALLET NHS TREATMENT CENTRE,1532,1608,10,0,3083,746,1676,73,1013,49,2011-04-01
SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,8162,7430,234,849,15707,7534,24277,2026,52550,4869,2011-04-01
SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,6983,6630,108,1606,19233,15156,29748,2452,46691,3828,2011-04-01
SHROPSHIRE COUNTY PCT,59,50,0,6,1375,105,1340,88,1885,195,2011-04-01
SOLENT NHS TRUST,189,174,0,19,865,1026,1476,191,3936,638,2011-04-01
SOMERSET PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,67,864,113,2973,358,2011-04-01
SOMERSET PCT,127,84,5,0,141,15,128,7,393,12,2011-04-01
SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,4036,3537,35,649,11558,7051,17594,991,42724,2837,2011-04-01
SOUTH ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,889,627,94,3529,829,2011-04-01
SOUTH LONDON HEALTHCARE NHS TRUST,18092,14622,280,2637,36927,24625,48569,5190,93709,14164,2011-04-01
SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,0,0,21,40,2362,100,7046,1553,2011-04-01
SOUTH STAFFORDSHIRE PCT,725,677,10,70,4696,797,3954,259,7497,1024,2011-04-01
SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,10252,9644,265,940,26958,18738,39199,3255,76549,7797,2011-04-01
SOUTH TYNESIDE NHS FOUNDATION TRUST,3102,2871,128,362,5571,5230,9527,961,22418,2187,2011-04-01
SOUTH TYNESIDE PCT,0,0,0,0,0,0,905,0,451,0,2011-04-01
SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5076,4248,44,217,11505,7658,13177,2529,24362,3779,2011-04-01
SOUTH WEST ESSEX PCT,0,0,0,0,46,63,779,48,564,144,2011-04-01
SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,0,0,0,0,2930,3037,1194,142,12458,2021,2011-04-01
